,YM,Type,BAS_ID,TotalSpent,DisSpent,NumofSpent,NumofDisSpent
0,202005,1급호텔,63124,8571500,0,30,0
1,202005,1급호텔,63166,5155175,383000,90,7
2,202005,1급호텔,63333,7836858,19900,120,2
3,202005,2급호텔,63050,24000,0,1,0
4,202005,2급호텔,63081,2150000,100000,38,2
5,202005,2급호텔,63082,1810000,40000,19,1
6,202005,2급호텔,63119,2709992,74000,46,3
7,202005,2급호텔,63124,1969000,51000,35,1
8,202005,2급호텔,63129,590000,60000,8,1
9,202005,2급호텔,63137,100000,0,2,0
10,202005,2급호텔,63165,806000,0,1,0
11,202005,2급호텔,63172,675000,0,20,0
12,202005,2급호텔,63277,898720,150000,16,3
13,202005,2급호텔,63281,1380000,90000,18,3
14,202005,2급호텔,63347,30000,0,1,0
15,202005,2급호텔,63547,55033533,741300,331,15
16,202005,2급호텔,63566,321000,40000,10,1
17,202005,2급호텔,63572,1046000,0,9,0
18,202005,2급호텔,63596,540000,0,5,0
19,202005,2급호텔,63640,855000,0,19,0
20,202005,CATV,63142,26327048,3424020,942,109
21,202005,DVD음반테이프판매,63124,3789000,850000,41,10
22,202005,DVD음반테이프판매,63168,577000,159000,17,5
23,202005,DVD음반테이프판매,63198,3207000,149000,44,5
24,202005,LPG,63000,4307000,2433000,44,27
25,202005,LPG,63002,1178000,152000,17,3
26,202005,LPG,63008,10039960,1633610,111,26
27,202005,LPG,63015,13307980,3306376,156,37
28,202005,LPG,63024,1832000,473000,30,7
29,202005,LPG,63025,1495390,224000,17,4
30,202005,LPG,63026,2822880,517000,40,10
31,202005,LPG,63027,2365140,546000,34,10
32,202005,LPG,63028,25337754,3480230,925,124
33,202005,LPG,63029,4572910,533610,45,7
34,202005,LPG,63031,2761000,190000,33,2
35,202005,LPG,63046,4812670,1634680,62,20
36,202005,LPG,63047,17600525,2314503,610,59
37,202005,LPG,63052,3135000,795000,60,16
38,202005,LPG,63060,6824647,1876000,55,15
39,202005,LPG,63064,12652200,1705810,57,17
40,202005,LPG,63067,776000,156000,14,3
41,202005,LPG,63071,1475180,70000,15,2
42,202005,LPG,63072,2244460,226440,30,5
43,202005,LPG,63074,4150040,1155000,49,13
44,202005,LPG,63076,30974031,3958257,793,99
45,202005,LPG,63077,7467400,218780,44,5
46,202005,LPG,63093,78181195,13051072,2930,447
47,202005,LPG,63105,25010752,4028970,298,66
48,202005,LPG,63106,43357520,8809030,430,113
49,202005,LPG,63108,7318879,1124105,318,42
50,202005,LPG,63109,23061025,2993390,904,99
51,202005,LPG,63110,4951040,1103240,63,15
52,202005,LPG,63116,29784571,3238590,1272,110
53,202005,LPG,63141,22578620,3841998,799,128
54,202005,LPG,63142,1161030,258000,23,5
55,202005,LPG,63145,5973310,1998000,126,45
56,202005,LPG,63146,25501191,4598525,823,145
57,202005,LPG,63148,1581920,382390,12,2
58,202005,LPG,63149,29595302,4483701,1172,158
59,202005,LPG,63164,17894853,427635,948,20
60,202005,LPG,63173,17416728,1617217,630,51
61,202005,LPG,63205,2818800,1182960,40,14
62,202005,LPG,63228,7976890,1792740,87,28
63,202005,LPG,63231,19755035,3484200,689,112
64,202005,LPG,63234,1803310,110000,17,2
65,202005,LPG,63237,19124501,4793220,154,45
66,202005,LPG,63240,4152250,470260,46,9
67,202005,LPG,63241,11432235,1238693,385,40
68,202005,LPG,63246,18757949,3850301,604,125
69,202005,LPG,63251,10197101,828710,418,30
70,202005,LPG,63253,15027368,2433714,572,82
71,202005,LPG,63295,11130126,2439290,379,76
72,202005,LPG,63297,3275700,369500,50,7
73,202005,LPG,63298,992070,277580,9,2
74,202005,LPG,63299,3523969,624384,116,20
75,202005,LPG,63300,1059310,514000,21,12
76,202005,LPG,63304,30842697,3965849,756,105
77,202005,LPG,63305,1530210,216000,30,4
78,202005,LPG,63306,65337834,11987235,2267,401
79,202005,LPG,63308,1963620,850340,33,11
80,202005,LPG,63313,792470,229000,17,4
81,202005,LPG,63325,10989120,982110,93,16
82,202005,LPG,63328,173000,0,3,0
83,202005,LPG,63331,1593110,111000,32,3
84,202005,LPG,63333,2799200,166000,33,3
85,202005,LPG,63334,17940780,2047759,614,67
86,202005,LPG,63336,15889030,2517000,115,35
87,202005,LPG,63340,2746000,1048000,39,15
88,202005,LPG,63344,4272550,586000,37,4
89,202005,LPG,63348,863510,433550,7,3
90,202005,LPG,63357,649000,278000,9,3
91,202005,LPG,63359,10970572,693471,420,22
92,202005,LPG,63361,4981620,1301840,57,18
93,202005,LPG,63362,2141770,618000,26,9
94,202005,LPG,63365,1728000,246000,20,4
95,202005,LPG,63501,80000,0,2,0
96,202005,LPG,63502,518000,111000,10,2
97,202005,LPG,63504,153000,114000,2,1
98,202005,LPG,63509,9866665,1521834,339,53
99,202005,LPG,63510,7959900,1716790,66,19
100,202005,LPG,63512,4168000,1654240,36,9
101,202005,LPG,63520,13449420,1974401,476,66
102,202005,LPG,63526,7356540,404420,256,12
103,202005,LPG,63527,3431780,1221780,26,10
104,202005,LPG,63528,799000,234000,16,6
105,202005,LPG,63531,1835000,720000,29,10
106,202005,LPG,63534,21577629,2902533,587,79
107,202005,LPG,63537,2855430,683000,18,7
108,202005,LPG,63539,1726929,1071469,17,7
109,202005,LPG,63556,420940,0,6,0
110,202005,LPG,63560,19783797,2467511,542,76
111,202005,LPG,63569,24322617,2812385,875,97
112,202005,LPG,63578,12645919,1583000,79,27
113,202005,LPG,63579,6434290,1709570,58,13
114,202005,LPG,63581,2492730,682990,43,13
115,202005,LPG,63583,5850010,1694630,83,25
116,202005,LPG,63584,2140000,113000,19,3
117,202005,LPG,63585,13531873,2388828,480,76
118,202005,LPG,63586,2963660,841900,24,6
119,202005,LPG,63587,26148510,3904085,925,136
120,202005,LPG,63598,2217000,710000,32,14
121,202005,LPG,63600,30365662,3281725,980,106
122,202005,LPG,63602,6299680,102830,19,2
123,202005,LPG,63609,4027000,1662000,49,16
124,202005,LPG,63619,9590720,2074740,114,27
125,202005,LPG,63621,7580086,1775850,60,13
126,202005,LPG,63624,3208350,1444680,35,10
127,202005,LPG,63627,18765781,3067836,685,111
128,202005,LPG,63628,10524480,2552070,85,32
129,202005,LPG,63629,1510090,524090,26,8
130,202005,LPG,63631,771240,120310,12,2
131,202005,LPG,63639,13758941,1624320,501,51
132,202005,LPG,63640,4426060,864950,56,12
133,202005,LPG,63641,12635841,1248370,334,31
134,202005,가례서비스,63028,15512000,350000,4,1
135,202005,가례서비스,63073,13275000,0,2,0
136,202005,가례서비스,63109,18520000,941060,10,1
137,202005,가례서비스,63145,4866000,0,19,0
138,202005,가례서비스,63148,3970000,0,8,0
139,202005,가례서비스,63169,1447600,0,4,0
140,202005,가례서비스,63178,20000,20000,1,1
141,202005,가례서비스,63191,1485000,0,2,0
142,202005,가례서비스,63219,1750000,0,2,0
143,202005,가례서비스,63231,2472000,0,10,0
144,202005,가례서비스,63232,4472000,0,8,0
145,202005,가례서비스,63334,16356000,0,3,0
146,202005,가례서비스,63540,2400000,0,1,0
147,202005,가방,63024,70000,0,1,0
148,202005,가방,63092,50000,50000,1,1
149,202005,가방,63099,245000,0,6,0
150,202005,가방,63124,137700,56800,3,1
151,202005,가방,63129,5834000,519000,13,2
152,202005,가방,63131,555600,99000,6,1
153,202005,가방,63165,5601900,813650,44,8
154,202005,가방,63168,7751200,2593800,104,43
155,202005,가방,63192,354000,135000,17,7
156,202005,가방,63200,3810000,955000,33,7
157,202005,가방,63227,715000,340000,6,3
158,202005,가방,63277,184000,76000,14,4
159,202005,가방,63535,131340000,914870,85,2
160,202005,가방,63579,1257000,267000,16,4
161,202005,가방,63595,993000,410000,25,10
162,202005,가방,63621,14000,0,1,0
163,202005,가전제품,63000,601900,0,10,0
164,202005,가전제품,63030,319400,63900,28,4
165,202005,가전제품,63032,36076700,2863960,162,27
166,202005,가전제품,63069,2700000,1515860,8,4
167,202005,가전제품,63081,107720980,0,255,0
168,202005,가전제품,63083,16477000,0,26,0
169,202005,가전제품,63084,48264200,0,242,0
170,202005,가전제품,63088,454450,99050,59,7
171,202005,가전제품,63093,349000,0,1,0
172,202005,가전제품,63116,2482000,80000,12,1
173,202005,가전제품,63126,5220000,1351930,10,3
174,202005,가전제품,63129,63109434,4538520,230,24
175,202005,가전제품,63133,295000,295000,3,3
176,202005,가전제품,63136,306000,204380,1,1
177,202005,가전제품,63145,32838800,1612400,15,4
178,202005,가전제품,63148,16590121,0,7,0
179,202005,가전제품,63164,2881300,528000,76,16
180,202005,가전제품,63166,5077900,1450000,32,13
181,202005,가전제품,63168,125427790,420000,314,4
182,202005,가전제품,63171,2950000,0,2,0
183,202005,가전제품,63172,393000,0,5,0
184,202005,가전제품,63173,250000,0,2,0
185,202005,가전제품,63174,85000,0,2,0
186,202005,가전제품,63175,1505000,360000,6,1
187,202005,가전제품,63176,6593000,160000,8,1
188,202005,가전제품,63184,11299300,2766050,111,24
189,202005,가전제품,63193,80000,0,1,0
190,202005,가전제품,63197,690000,50000,3,1
191,202005,가전제품,63204,300000,300000,1,1
192,202005,가전제품,63211,124020910,0,421,0
193,202005,가전제품,63216,4395750,653600,97,19
194,202005,가전제품,63217,7607000,2400050,187,53
195,202005,가전제품,63218,100000,0,3,0
196,202005,가전제품,63222,300000,0,1,0
197,202005,가전제품,63225,3088000,430000,17,5
198,202005,가전제품,63226,60000,0,1,0
199,202005,가전제품,63229,703000,160000,6,1
200,202005,가전제품,63232,13986000,530000,25,1
201,202005,가전제품,63233,14445000,2660000,12,5
202,202005,가전제품,63240,1880000,0,4,0
203,202005,가전제품,63253,32180000,0,33,0
204,202005,가전제품,63260,3150000,0,2,0
205,202005,가전제품,63264,1594000,178500,26,8
206,202005,가전제품,63267,13062400,7812300,115,52
207,202005,가전제품,63278,670000,420000,2,1
208,202005,가전제품,63288,2740000,0,3,0
209,202005,가전제품,63306,780000,780000,2,2
210,202005,가전제품,63323,2860000,0,3,0
211,202005,가전제품,63325,90390160,0,255,0
212,202005,가전제품,63331,7284000,2038390,13,4
213,202005,가전제품,63360,2766000,2749000,6,5
214,202005,가전제품,63508,8819000,0,25,0
215,202005,가전제품,63510,548400,283000,12,4
216,202005,가전제품,63513,930800,324900,21,9
217,202005,가전제품,63545,2917000,0,3,0
218,202005,가전제품,63569,730000,0,2,0
219,202005,가전제품,63579,2935000,340000,9,2
220,202005,가전제품,63584,2674500,127000,16,1
221,202005,가전제품,63585,2055000,620000,9,4
222,202005,가전제품,63589,207651941,1320260,641,31
223,202005,가전제품,63591,539000,97000,15,5
224,202005,가전제품,63595,620000,585000,5,4
225,202005,가전제품,63596,700000,0,1,0
226,202005,가전제품,63597,325000,90000,3,1
227,202005,가전제품,63598,100,0,1,0
228,202005,가전제품,63629,2212000,0,23,0
229,202005,가전제품,63640,3480000,1582600,38,12
230,202005,가정용품수리,63069,397000,47000,3,1
231,202005,가정용품수리,63076,22736150,4512600,269,54
232,202005,가정용품수리,63081,45154980,7113100,607,101
233,202005,가정용품수리,63125,1330000,370000,9,3
234,202005,가정용품수리,63126,89879500,12270090,1028,179
